N_stages,St_len_min,K_nb_max,N_cl_max,Cl_cen,Ward_dist,Cen_dist,Silh,Cal-Har,Dav-Bold,St_edges
3,25,7,10,med,5542.402688142826,11.411956620606507,0.04935626575361124,9.741404062214745,4.654381482388091,"[0, 141, 323, 357]"
3,25,7,10,mode,4962.988416920823,12.059860688404147,0.031465582966633,7.905837882607822,4.040228753132288,"[0, 41, 323, 357]"
3,25,7,10,mean,5042.5189555117995,10.773344614807478,0.04941783596962825,8.842342132656034,4.787670840890279,"[0, 111, 321, 357]"
4,25,7,10,med,4533.207290979808,10.896086285359369,0.035614138006910344,7.832577465365719,4.501549337975012,"[0, 41, 164, 323, 357]"
4,25,7,10,mode,4419.831463832521,10.831363351743613,0.03430918292999582,7.477412134839706,4.625230151353357,"[0, 41, 141, 323, 357]"
4,25,7,10,mean,4056.213006068032,10.302682815634753,0.031898909032848574,6.838481027492062,4.7750025680996595,"[0, 40, 152, 321, 357]"
5,25,7,10,med,4210.716725336984,12.70785983983784,0.05970998941494248,7.308819685767628,3.725838681361327,"[0, 41, 141, 169, 323, 357]"
5,25,7,10,mode,4311.31452060874,13.42662644759954,0.07243406961098427,7.4502980416408136,3.577235315414638,"[0, 41, 141, 164, 323, 357]"
5,25,7,10,mean,3343.0127296970704,10.812237510615217,0.04581460131840549,5.739037120602536,4.381664916114062,"[0, 40, 134, 168, 321, 357]"
6,25,7,10,med,4187.295710736908,13.897202586038748,0.0588797283494637,7.301779269996976,3.346311849602722,"[0, 41, 115, 141, 169, 323, 357]"
6,25,7,10,mode,4276.819767046655,14.478878757429687,0.06931757364848148,7.440017500345549,3.2649525391149616,"[0, 41, 115, 141, 164, 323, 357]"
6,25,7,10,mean,3898.640439168582,13.397766905386685,0.055966517302506756,6.779593018369731,3.4905135202743116,"[0, 40, 114, 141, 168, 321, 357]"
7,25,7,10,med,3347.643450380854,12.883924448758131,0.05019708436630884,5.79862339585966,3.8539084414022073,"[0, 41, 115, 141, 169, 290, 323, 357]"
7,25,7,10,mode,3422.093994421852,13.28350128544006,0.058305361706720744,5.9121210541765485,3.7954423326797735,"[0, 41, 115, 141, 164, 286, 323, 357]"
7,25,7,10,mean,3226.089774904595,12.663712757844644,0.04829770751827556,5.606742173930435,3.930601597333313,"[0, 40, 114, 141, 168, 290, 323, 357]"
8,25,7,10,med,2738.6954378129453,12.638880350987579,0.020846635908802574,4.853203129273182,3.689755304745654,"[0, 30, 41, 115, 141, 169, 290, 323, 357]"
8,25,7,10,mode,2802.5101898480866,12.981374782429233,0.027796587914869934,4.950486836401945,3.639641497269283,"[0, 30, 41, 115, 141, 164, 286, 323, 357]"
8,25,7,10,mean,2665.804440196502,12.48798240535181,0.05118405901354712,4.718299699604768,4.001022197210327,"[0, 30, 42, 114, 141, 168, 290, 323, 357]"
9,25,7,10,med,2179.0141994932173,13.312872594109365,0.00940493004515269,3.777222078201436,3.4629517976771638,"[0, 30, 41, 115, 141, 164, 170, 290, 323, 357]"
9,25,7,10,mode,2147.911818797791,13.272574373141964,0.0037019857574379818,3.729793514934893,3.451099966775273,"[0, 30, 41, 115, 141, 164, 169, 286, 323, 357]"
9,25,7,10,mean,2137.267452002907,13.174383492129664,0.03579416448370856,3.706126272366406,3.7305328191047504,"[0, 30, 42, 114, 141, 164, 170, 290, 323, 357]"
10,25,7,10,med,7535.801275964215,32.638225437885744,0.18687262418769265,15.243098508892153,2.841495674200159,"[0, 30, 41, 44, 115, 141, 164, 170, 290, 323, 357]"
10,25,7,10,mode,7508.154715346058,32.602404797025834,0.18180334037639068,15.20093978598856,2.8309607133984778,"[0, 30, 41, 44, 115, 141, 164, 169, 286, 323, 357]"
10,25,7,10,mean,7499.192612045713,32.521586112329125,0.18551791506144388,15.12543759240218,2.8783648826007595,"[0, 30, 41, 44, 114, 141, 164, 170, 290, 323, 357]"
11,25,7,10,med,6747.986736881932,30.720914020825592,0.1707881699189395,13.661706340309982,2.671649991184274,"[0, 30, 41, 44, 115, 141, 164, 170, 286, 295, 323, 357]"
11,25,7,10,mode,6719.7978739136215,30.769193087146846,0.16687885999562266,13.615063091503206,2.6379323167122646,"[0, 30, 41, 44, 115, 141, 164, 169, 286, 295, 323, 357]"
11,25,7,10,mean,6715.0389393552805,30.61593862782463,0.16956893170531562,13.555811515469003,2.704832278744815,"[0, 30, 41, 44, 114, 141, 164, 170, 286, 295, 323, 357]"
12,25,7,10,med,5907.417895023237,29.415752984071926,0.13898910918322296,11.97481106688002,2.567350686122559,"[0, 30, 41, 44, 115, 141, 164, 170, 286, 295, 323, 325, 357]"
12,25,7,10,mode,5881.791655961137,29.459643044363975,0.13543519107111676,11.932408113419314,2.5366982547843686,"[0, 30, 41, 44, 115, 141, 164, 169, 286, 295, 323, 325, 357]"
